layer,pos,split_train,split_test
0,0,0.99375,0.7583333333333333
0,1,0.9708333333333333,0.8166666666666667
0,2,0.9354166666666667,0.8
0,3,0.9916666666666667,0.875
0,4,0.9583333333333334,0.8666666666666667
1,0,1.0,0.8
1,1,1.0,0.925
1,2,1.0,0.9416666666666667
1,3,1.0,0.9166666666666666
1,4,1.0,0.925
2,0,1.0,0.7833333333333333
2,1,1.0,0.9416666666666667
2,2,1.0,0.95
2,3,1.0,0.925
2,4,1.0,0.95
3,0,1.0,0.825
3,1,1.0,0.925
3,2,1.0,0.8916666666666667
3,3,1.0,0.8916666666666667
3,4,1.0,0.925
4,0,1.0,0.8333333333333334
4,1,1.0,0.9166666666666666
4,2,1.0,0.9166666666666666
4,3,1.0,0.9166666666666666
4,4,1.0,0.9083333333333333
5,0,1.0,0.8666666666666667
5,1,1.0,0.925
5,2,1.0,0.9166666666666666
5,3,1.0,0.9333333333333333
5,4,1.0,0.9416666666666667
6,0,1.0,0.8583333333333333
6,1,1.0,0.9416666666666667
6,2,1.0,0.9416666666666667
6,3,1.0,0.9583333333333334
6,4,1.0,0.95
7,0,1.0,0.9083333333333333
7,1,1.0,0.9833333333333333
7,2,1.0,0.9666666666666667
7,3,1.0,0.975
7,4,1.0,0.9416666666666667
8,0,1.0,0.9416666666666667
8,1,1.0,0.9833333333333333
8,2,1.0,0.9416666666666667
8,3,1.0,0.9166666666666666
8,4,1.0,0.9166666666666666
9,0,1.0,0.9
9,1,1.0,0.9916666666666667
9,2,1.0,0.9666666666666667
9,3,1.0,0.925
9,4,1.0,0.9583333333333334
10,0,1.0,0.9166666666666666
10,1,1.0,0.975
10,2,1.0,0.9666666666666667
10,3,1.0,0.9666666666666667
10,4,1.0,0.9666666666666667
11,0,1.0,0.9416666666666667
11,1,1.0,0.9583333333333334
11,2,1.0,0.9916666666666667
11,3,1.0,0.9666666666666667
11,4,1.0,0.9666666666666667
12,0,1.0,0.925
12,1,1.0,0.9416666666666667
12,2,1.0,0.9833333333333333
12,3,1.0,0.9416666666666667
12,4,1.0,0.9583333333333334
13,0,1.0,0.95
13,1,1.0,0.975
13,2,1.0,0.9916666666666667
13,3,1.0,0.9833333333333333
13,4,1.0,0.9666666666666667
14,0,1.0,0.925
14,1,1.0,0.9583333333333334
14,2,1.0,0.975
14,3,1.0,0.9583333333333334
14,4,1.0,0.9583333333333334
15,0,1.0,0.9333333333333333
15,1,1.0,0.9833333333333333
15,2,1.0,0.975
15,3,1.0,0.975
15,4,1.0,0.975
16,0,1.0,0.9166666666666666
16,1,1.0,0.975
16,2,1.0,0.9833333333333333
16,3,1.0,0.9583333333333334
16,4,1.0,0.975
17,0,1.0,0.9
17,1,1.0,0.9833333333333333
17,2,1.0,0.9583333333333334
17,3,1.0,0.9583333333333334
17,4,1.0,0.95
18,0,1.0,0.9
18,1,1.0,0.9833333333333333
18,2,1.0,0.95
18,3,1.0,0.9416666666666667
18,4,1.0,0.9333333333333333
19,0,1.0,0.8916666666666667
19,1,1.0,0.9583333333333334
19,2,1.0,0.9666666666666667
19,3,1.0,0.9583333333333334
19,4,1.0,0.9333333333333333
20,0,1.0,0.9083333333333333
20,1,1.0,0.95
20,2,1.0,0.9666666666666667
20,3,1.0,0.9416666666666667
20,4,1.0,0.9333333333333333
21,0,1.0,0.925
21,1,1.0,0.95
21,2,1.0,0.95
21,3,1.0,0.9416666666666667
21,4,1.0,0.95
22,0,1.0,0.8916666666666667
22,1,1.0,0.9583333333333334
22,2,1.0,0.95
22,3,1.0,0.975
22,4,1.0,0.9333333333333333
23,0,1.0,0.9083333333333333
23,1,1.0,0.975
23,2,1.0,0.9583333333333334
23,3,1.0,0.9666666666666667
23,4,1.0,0.925
24,0,1.0,0.8583333333333333
24,1,1.0,0.9666666666666667
24,2,1.0,0.9333333333333333
24,3,1.0,0.9833333333333333
24,4,1.0,0.95
25,0,1.0,0.9083333333333333
25,1,1.0,0.9666666666666667
25,2,1.0,0.9333333333333333
25,3,1.0,0.9833333333333333
25,4,1.0,0.9666666666666667
