layer,pos,split_train,split_test
0,0,0.9875,0.8083333333333333
0,1,1.0,0.9
0,2,1.0,0.9
0,3,1.0,0.9333333333333333
0,4,1.0,0.925
1,0,1.0,0.8083333333333333
1,1,1.0,0.9416666666666667
1,2,1.0,0.975
1,3,1.0,0.9166666666666666
1,4,1.0,0.9666666666666667
2,0,1.0,0.8083333333333333
2,1,1.0,0.9333333333333333
2,2,1.0,0.9416666666666667
2,3,1.0,0.9416666666666667
2,4,1.0,0.9583333333333334
3,0,1.0,0.8333333333333334
3,1,1.0,0.925
3,2,1.0,0.9333333333333333
3,3,1.0,0.9166666666666666
3,4,1.0,0.925
4,0,1.0,0.8583333333333333
4,1,1.0,0.9583333333333334
4,2,1.0,0.95
4,3,1.0,0.925
4,4,1.0,0.9083333333333333
5,0,1.0,0.8833333333333333
5,1,1.0,0.925
5,2,1.0,0.9083333333333333
5,3,1.0,0.9416666666666667
5,4,1.0,0.9416666666666667
6,0,1.0,0.9
6,1,1.0,0.9416666666666667
6,2,1.0,0.925
6,3,1.0,0.9416666666666667
6,4,1.0,0.925
7,0,1.0,0.9083333333333333
7,1,1.0,0.9833333333333333
7,2,1.0,0.9833333333333333
7,3,1.0,0.95
7,4,1.0,0.9333333333333333
8,0,1.0,0.925
8,1,1.0,0.975
8,2,1.0,0.95
8,3,1.0,0.925
8,4,1.0,0.9333333333333333
9,0,1.0,0.9166666666666666
9,1,1.0,0.975
9,2,1.0,0.9666666666666667
9,3,1.0,0.9
9,4,1.0,0.95
10,0,1.0,0.9416666666666667
10,1,1.0,0.9916666666666667
10,2,1.0,0.9666666666666667
10,3,1.0,0.9666666666666667
10,4,1.0,0.9583333333333334
11,0,1.0,0.95
11,1,1.0,0.9666666666666667
11,2,1.0,0.975
11,3,1.0,0.975
11,4,1.0,0.9666666666666667
12,0,1.0,0.9333333333333333
12,1,1.0,0.9666666666666667
12,2,1.0,0.9833333333333333
12,3,1.0,0.9583333333333334
12,4,1.0,0.9833333333333333
13,0,1.0,0.9583333333333334
13,1,1.0,0.9916666666666667
13,2,1.0,0.9833333333333333
13,3,1.0,0.9833333333333333
13,4,1.0,0.975
14,0,1.0,0.9333333333333333
14,1,1.0,0.9916666666666667
14,2,1.0,0.975
14,3,1.0,0.975
14,4,1.0,0.975
15,0,1.0,0.9583333333333334
15,1,1.0,0.975
15,2,1.0,0.9583333333333334
15,3,1.0,0.975
15,4,1.0,0.9583333333333334
16,0,1.0,0.8916666666666667
16,1,1.0,0.975
16,2,1.0,0.9666666666666667
16,3,1.0,0.95
16,4,1.0,0.9583333333333334
17,0,1.0,0.9166666666666666
17,1,1.0,0.9833333333333333
17,2,1.0,0.95
17,3,1.0,0.95
17,4,1.0,0.9416666666666667
18,0,1.0,0.9416666666666667
18,1,1.0,0.975
18,2,1.0,0.9666666666666667
18,3,1.0,0.9416666666666667
18,4,1.0,0.9416666666666667
19,0,1.0,0.925
19,1,1.0,0.9583333333333334
19,2,1.0,0.9583333333333334
19,3,1.0,0.9416666666666667
19,4,1.0,0.9333333333333333
20,0,1.0,0.925
20,1,1.0,0.9666666666666667
20,2,1.0,0.9583333333333334
20,3,1.0,0.95
20,4,1.0,0.9333333333333333
21,0,1.0,0.9
21,1,1.0,0.9666666666666667
21,2,1.0,0.9583333333333334
21,3,1.0,0.95
21,4,1.0,0.95
22,0,1.0,0.925
22,1,1.0,0.9666666666666667
22,2,1.0,0.9583333333333334
22,3,1.0,0.9666666666666667
22,4,1.0,0.9583333333333334
23,0,1.0,0.925
23,1,1.0,0.9666666666666667
23,2,1.0,0.9666666666666667
23,3,1.0,0.9666666666666667
23,4,1.0,0.9583333333333334
24,0,1.0,0.9333333333333333
24,1,1.0,0.9583333333333334
24,2,1.0,0.975
24,3,1.0,0.9666666666666667
24,4,1.0,0.9666666666666667
25,0,1.0,0.9166666666666666
25,1,1.0,0.9583333333333334
25,2,1.0,0.9583333333333334
25,3,1.0,0.9833333333333333
25,4,1.0,0.975
