layer,pos,split_train,split_test
0,4,1.0,0.9
1,4,1.0,0.9416666666666667
2,4,1.0,0.9166666666666666
3,4,1.0,0.925
4,4,1.0,0.9166666666666666
5,4,1.0,0.9
6,4,1.0,0.8916666666666667
7,4,1.0,0.9416666666666667
8,4,1.0,0.9416666666666667
9,4,1.0,0.9583333333333334
10,4,1.0,0.9333333333333333
11,4,1.0,0.9333333333333333
12,4,1.0,0.9666666666666667
13,4,1.0,0.9666666666666667
14,4,1.0,0.9666666666666667
15,4,1.0,0.975
16,4,1.0,0.975
17,4,1.0,0.9833333333333333
18,4,1.0,0.9666666666666667
19,4,1.0,0.975
20,4,1.0,0.9833333333333333
21,4,1.0,0.9833333333333333
22,4,1.0,0.9833333333333333
23,4,1.0,0.9833333333333333
24,4,1.0,0.9833333333333333
25,4,1.0,0.975
26,4,1.0,0.9666666666666667
27,4,1.0,0.975
