layer,pos,p2f_train,p2f_test,p2f_auroc,f2p_train,f2p_test,f2p_auroc
0,0,1.0,0.48,0.4278222222222222,1.0,0.5166666666666667,0.5174666666666666
0,1,1.0,0.5766666666666667,0.6025333333333334,1.0,0.5233333333333333,0.5064
0,2,1.0,0.5166666666666667,0.5476888888888889,1.0,0.4866666666666667,0.5299111111111111
0,3,1.0,0.53,0.5715111111111111,1.0,0.49333333333333335,0.5423555555555556
0,4,1.0,0.57,0.6903111111111111,1.0,0.5166666666666667,0.5336
1,0,1.0,0.4066666666666667,0.41244444444444445,1.0,0.5466666666666666,0.5192888888888889
1,1,1.0,0.48333333333333334,0.5072,1.0,0.5233333333333333,0.5088888888888888
1,2,1.0,0.5066666666666667,0.5076,1.0,0.47333333333333333,0.4726666666666667
1,3,1.0,0.48333333333333334,0.4876888888888889,1.0,0.5066666666666667,0.5122666666666666
1,4,1.0,0.54,0.6129777777777777,1.0,0.4666666666666667,0.4454222222222222
2,0,1.0,0.52,0.4157777777777778,1.0,0.5333333333333333,0.4883111111111111
2,1,1.0,0.49666666666666665,0.49262222222222224,1.0,0.53,0.5264444444444445
2,2,1.0,0.5233333333333333,0.5819111111111112,1.0,0.49333333333333335,0.47115555555555555
2,3,1.0,0.5366666666666666,0.5838666666666666,1.0,0.5166666666666667,0.5305333333333333
2,4,1.0,0.52,0.5988888888888889,1.0,0.48,0.4481777777777778
3,0,1.0,0.5233333333333333,0.38604444444444447,1.0,0.5133333333333333,0.48035555555555554
3,1,1.0,0.43333333333333335,0.41546666666666665,1.0,0.5433333333333333,0.5508
3,2,1.0,0.5166666666666667,0.5464,1.0,0.47,0.4603555555555556
3,3,1.0,0.5,0.5064444444444445,1.0,0.4866666666666667,0.49333333333333335
3,4,1.0,0.4866666666666667,0.5763111111111111,1.0,0.45666666666666667,0.43777777777777777
4,0,1.0,0.51,0.4450222222222222,1.0,0.49,0.4852
4,1,1.0,0.49666666666666665,0.4535111111111111,1.0,0.5733333333333334,0.5948888888888889
4,2,1.0,0.5333333333333333,0.5549333333333333,1.0,0.5,0.4710666666666667
4,3,1.0,0.48,0.4788,1.0,0.47,0.47057777777777776
4,4,1.0,0.47333333333333333,0.5092888888888889,1.0,0.42,0.4119555555555556
5,0,1.0,0.5266666666666666,0.5472888888888889,1.0,0.5433333333333333,0.5381333333333334
5,1,1.0,0.5,0.5313333333333333,1.0,0.54,0.5794222222222222
5,2,1.0,0.53,0.5375111111111112,1.0,0.5466666666666666,0.5272888888888889
5,3,1.0,0.45,0.4722222222222222,1.0,0.5066666666666667,0.42693333333333333
5,4,1.0,0.49333333333333335,0.5334666666666666,1.0,0.44666666666666666,0.4807111111111111
6,0,1.0,0.59,0.6295555555555555,1.0,0.5833333333333334,0.5546666666666666
6,1,1.0,0.52,0.5934222222222222,1.0,0.5866666666666667,0.6127111111111111
6,2,1.0,0.5,0.5464444444444444,1.0,0.56,0.5483555555555556
6,3,1.0,0.45,0.4729333333333333,1.0,0.5133333333333333,0.47888888888888886
6,4,1.0,0.48333333333333334,0.4980888888888889,1.0,0.4633333333333333,0.47773333333333334
7,0,1.0,0.59,0.6416444444444445,1.0,0.53,0.5186666666666667
7,1,1.0,0.5633333333333334,0.6254222222222222,1.0,0.5766666666666667,0.5935111111111111
7,2,1.0,0.59,0.6639555555555555,1.0,0.51,0.5398222222222222
7,3,1.0,0.47333333333333333,0.4534666666666667,1.0,0.48,0.45955555555555555
7,4,1.0,0.48333333333333334,0.5107111111111111,1.0,0.5033333333333333,0.5308
8,0,1.0,0.6266666666666667,0.6747555555555556,1.0,0.5566666666666666,0.5763111111111111
8,1,1.0,0.56,0.6183555555555555,1.0,0.5733333333333334,0.6035555555555555
8,2,1.0,0.6433333333333333,0.7349777777777777,1.0,0.6233333333333333,0.5839555555555556
8,3,1.0,0.49333333333333335,0.5087555555555555,1.0,0.5233333333333333,0.5064444444444445
8,4,1.0,0.52,0.5526222222222222,1.0,0.49666666666666665,0.5321333333333333
9,0,1.0,0.57,0.6393777777777778,1.0,0.5733333333333334,0.6015111111111111
9,1,1.0,0.58,0.5888444444444444,1.0,0.58,0.6004888888888888
9,2,1.0,0.7333333333333333,0.8115555555555556,1.0,0.61,0.6135555555555555
9,3,1.0,0.5366666666666666,0.5719555555555556,1.0,0.5066666666666667,0.5371111111111111
9,4,1.0,0.5766666666666667,0.6255555555555555,1.0,0.5,0.5449333333333334
10,0,1.0,0.5866666666666667,0.5438666666666667,1.0,0.58,0.63
10,1,1.0,0.6,0.7228,1.0,0.5833333333333334,0.6234222222222222
10,2,1.0,0.6966666666666667,0.8037333333333333,1.0,0.6266666666666667,0.6196888888888888
10,3,1.0,0.6033333333333334,0.6230666666666667,1.0,0.5266666666666666,0.568
10,4,1.0,0.54,0.5812888888888889,1.0,0.4766666666666667,0.5453333333333333
11,0,1.0,0.5966666666666667,0.6398222222222222,1.0,0.5666666666666667,0.6418222222222222
11,1,1.0,0.6066666666666667,0.7422222222222222,1.0,0.5933333333333334,0.6588
11,2,1.0,0.76,0.8215555555555556,1.0,0.6,0.5669333333333333
11,3,1.0,0.5966666666666667,0.6212888888888889,1.0,0.5533333333333333,0.6096
