layer,pos,p2f_train,p2f_test,p2f_auroc,f2p_train,f2p_test,f2p_auroc
0,0,1.0,0.3433333333333333,0.4023555555555556,1.0,0.49666666666666665,0.5180444444444444
0,1,1.0,0.5133333333333333,0.5667555555555556,1.0,0.53,0.5392888888888889
0,2,1.0,0.5066666666666667,0.5504444444444444,1.0,0.5666666666666667,0.5931555555555555
0,3,1.0,0.53,0.5809777777777778,1.0,0.48333333333333334,0.5254666666666666
0,4,1.0,0.5666666666666667,0.6524,1.0,0.55,0.5667111111111112
1,0,1.0,0.43333333333333335,0.36386666666666667,1.0,0.52,0.5323111111111111
1,1,1.0,0.45666666666666667,0.44684444444444443,1.0,0.5266666666666666,0.5343555555555556
1,2,1.0,0.5066666666666667,0.5293333333333333,1.0,0.48,0.5145777777777778
1,3,1.0,0.51,0.5218666666666667,1.0,0.5133333333333333,0.5083555555555556
1,4,1.0,0.5633333333333334,0.6300888888888889,1.0,0.51,0.5079555555555556
2,0,1.0,0.49666666666666665,0.3877333333333333,1.0,0.54,0.5006666666666667
2,1,1.0,0.5033333333333333,0.45168888888888886,1.0,0.5,0.5472
2,2,1.0,0.5333333333333333,0.5791111111111111,1.0,0.5366666666666666,0.5220444444444444
2,3,1.0,0.5366666666666666,0.5883111111111111,1.0,0.5366666666666666,0.5481333333333334
2,4,1.0,0.5533333333333333,0.6427111111111111,1.0,0.51,0.5295111111111112
3,0,1.0,0.49333333333333335,0.3397777777777778,1.0,0.5366666666666666,0.47684444444444446
3,1,1.0,0.4633333333333333,0.3968,1.0,0.5433333333333333,0.5653333333333334
3,2,1.0,0.5233333333333333,0.5367555555555555,1.0,0.5,0.5086666666666667
3,3,1.0,0.5133333333333333,0.5648444444444445,1.0,0.5,0.5255555555555556
3,4,1.0,0.5366666666666666,0.6384888888888889,1.0,0.44666666666666666,0.46613333333333334
4,0,1.0,0.49666666666666665,0.45222222222222225,1.0,0.5133333333333333,0.4949777777777778
4,1,1.0,0.47,0.45715555555555554,1.0,0.57,0.5911111111111111
4,2,1.0,0.5633333333333334,0.5712444444444444,1.0,0.52,0.5127555555555555
4,3,1.0,0.5266666666666666,0.5827111111111111,1.0,0.4666666666666667,0.5044444444444445
4,4,1.0,0.5366666666666666,0.6319111111111111,1.0,0.4766666666666667,0.49862222222222224
5,0,1.0,0.49333333333333335,0.5156888888888889,1.0,0.52,0.5138222222222222
