layer,cosine,norm_base,norm_instruct
0,0.9284947514533997,0.3717501759529114,0.37790653109550476
1,0.906865656375885,0.42670297622680664,0.4388599991798401
2,0.882287323474884,0.49349310994148254,0.4875187575817108
3,0.8628973364830017,0.6549211144447327,0.5637805461883545
4,0.8413764834403992,0.7665421366691589,0.6578390002250671
5,0.8463191390037537,0.8980752825737,0.8154535889625549
6,0.8229164481163025,1.1229223012924194,1.0652369260787964
7,0.8002912998199463,1.2795422077178955,1.2699674367904663
8,0.7500744462013245,1.621038794517517,1.6790043115615845
9,0.7238976359367371,1.7995003461837769,1.7922502756118774
10,0.7177775502204895,1.822866439819336,1.8155094385147095
11,0.71145099401474,1.9861754179000854,2.0555365085601807
12,0.6911109685897827,1.9295436143875122,2.0371549129486084
13,0.686549961566925,2.168717861175537,2.364060163497925
14,0.6819630861282349,2.2660133838653564,2.6221821308135986
15,0.7020614147186279,2.5748581886291504,3.461700916290283
16,0.7210466265678406,2.8687479496002197,4.075066566467285
17,0.712395966053009,3.26619815826416,4.746107578277588
18,0.8084971904754639,6.319927215576172,9.88383960723877
19,0.8195216655731201,9.8480224609375,17.119373321533203
20,0.7651541829109192,11.947633743286133,20.83072280883789
21,0.7360559105873108,15.401826858520508,26.32295036315918
22,0.7667394876480103,21.925384521484375,41.87060546875
23,0.7232360243797302,29.387121200561523,53.09904861450195
24,0.670747697353363,36.16284942626953,67.06629180908203
25,0.6315941214561462,44.6381950378418,80.54544067382812
26,0.5872554779052734,52.01710891723633,93.09111785888672
27,0.5127414464950562,63.37688446044922,104.48501586914062
