layer,cosine,norm_base,norm_instruct
0,0.9154075980186462,0.017848212271928787,0.016328338533639908
1,0.8690339922904968,0.03198515623807907,0.027853330597281456
2,0.8430656790733337,0.05362239480018616,0.04550261050462723
3,0.8282084465026855,0.10413333773612976,0.08828065544366837
4,0.7866795063018799,0.16243942081928253,0.13654117286205292
5,0.7741918563842773,0.2556214928627014,0.21642637252807617
6,0.6700260639190674,0.3132264316082001,0.2617623209953308
7,0.615912675857544,0.3939061164855957,0.3229301869869232
8,0.49279430508613586,0.5272154211997986,0.40908125042915344
9,0.42507195472717285,0.7037562131881714,0.539739727973938
10,0.3914513885974884,0.8261147141456604,0.6112458109855652
11,0.3007005453109741,0.8882965445518494,0.6609319448471069
12,0.3097461760044098,0.8883073925971985,0.8186092376708984
13,0.4187127351760864,1.0492125749588013,1.2210849523544312
14,0.450602650642395,1.1573046445846558,1.447609543800354
15,0.5156445503234863,1.3891041278839111,1.8005577325820923
16,0.5127136707305908,1.575097680091858,2.0414440631866455
17,0.5147992372512817,1.8408973217010498,2.450282573699951
18,0.5693556666374207,2.2340478897094727,3.1588571071624756
19,0.5510523319244385,2.4074015617370605,3.3053011894226074
20,0.5332327485084534,2.5654056072235107,3.5953822135925293
21,0.5601130127906799,2.9091427326202393,4.165041446685791
22,0.5643917322158813,3.181314468383789,4.576207637786865
23,0.5512157678604126,3.4988157749176025,4.986029148101807
24,0.5620136857032776,3.800480365753174,5.529531002044678
25,0.555372953414917,4.046880722045898,5.901395320892334
26,0.5380264520645142,4.399474620819092,6.384974002838135
27,0.5313573479652405,4.648841857910156,6.840462684631348
28,0.531390905380249,5.18736457824707,7.508319854736328
29,0.5273109078407288,5.988011837005615,8.199620246887207
30,0.5024809837341309,6.644447326660156,9.02790641784668
31,0.45243039727211,9.478211402893066,11.609702110290527
