layer,direction,easy,hard,gap
0,f2p,0.47297297297297297,0.5512820512820513,-0.07830907830907835
0,p2f,0.44666666666666666,,
1,f2p,0.536036036036036,0.3076923076923077,0.2283437283437283
1,p2f,0.48,,
2,f2p,0.5180180180180181,0.358974358974359,0.15904365904365908
2,p2f,0.48,,
3,f2p,0.5225225225225225,0.3974358974358974,0.1250866250866251
3,p2f,0.45,,
4,f2p,0.45495495495495497,0.46153846153846156,-0.006583506583506593
4,p2f,0.4666666666666667,,
5,f2p,0.509009009009009,0.47435897435897434,0.03465003465003469
5,p2f,0.5733333333333334,,
6,f2p,0.6036036036036037,0.48717948717948717,0.11642411642411649
6,p2f,0.5966666666666667,,
7,f2p,0.45495495495495497,0.3076923076923077,0.14726264726264726
7,p2f,0.6066666666666667,,
8,f2p,0.5720720720720721,0.41025641025641024,0.16181566181566187
8,p2f,0.6133333333333333,,
9,f2p,0.6126126126126126,0.5,0.11261261261261257
9,p2f,0.73,,
10,f2p,0.5855855855855856,0.48717948717948717,0.09840609840609843
10,p2f,0.69,,
11,f2p,0.6036036036036037,0.47435897435897434,0.12924462924462932
11,p2f,0.7166666666666667,,
12,f2p,0.6261261261261262,0.5256410256410257,0.10048510048510051
12,p2f,0.6833333333333333,,
13,f2p,0.7792792792792793,0.6025641025641025,0.17671517671517678
13,p2f,0.8266666666666667,,
14,f2p,0.7882882882882883,0.6410256410256411,0.14726264726264726
14,p2f,0.82,,
15,f2p,0.7612612612612613,0.6025641025641025,0.15869715869715872
15,p2f,0.8,,
16,f2p,0.7612612612612613,0.5256410256410257,0.2356202356202356
16,p2f,0.7933333333333333,,
17,f2p,0.6756756756756757,0.48717948717948717,0.1884961884961885
17,p2f,0.7733333333333333,,
18,f2p,0.6711711711711712,0.46153846153846156,0.20963270963270964
18,p2f,0.7533333333333333,,
19,f2p,0.6621621621621622,0.47435897435897434,0.18780318780318783
19,p2f,0.75,,
20,f2p,0.6711711711711712,0.48717948717948717,0.18399168399168403
20,p2f,0.73,,
21,f2p,0.6531531531531531,0.48717948717948717,0.16597366597366597
21,p2f,0.6933333333333334,,
22,f2p,0.6621621621621622,0.48717948717948717,0.174982674982675
22,p2f,0.6833333333333333,,
23,f2p,0.6756756756756757,0.5256410256410257,0.15003465003465
23,p2f,0.6766666666666666,,
24,f2p,0.6711711711711712,0.5,0.1711711711711712
24,p2f,0.6766666666666666,,
25,f2p,0.6711711711711712,0.5256410256410257,0.14553014553014554
25,p2f,0.6766666666666666,,
