layer,pos,p2f_train,p2f_test,f2p_train,f2p_test
0,4,1.0,0.44666666666666666,1.0,0.49333333333333335
1,4,1.0,0.48,1.0,0.4766666666666667
2,4,1.0,0.48,1.0,0.4766666666666667
3,4,1.0,0.45,1.0,0.49
4,4,1.0,0.4666666666666667,1.0,0.45666666666666667
5,4,1.0,0.5733333333333334,1.0,0.5
6,4,1.0,0.5966666666666667,1.0,0.5733333333333334
7,4,1.0,0.6066666666666667,1.0,0.4166666666666667
8,4,1.0,0.6133333333333333,1.0,0.53
9,4,1.0,0.73,1.0,0.5833333333333334
10,4,1.0,0.69,1.0,0.56
11,4,1.0,0.7166666666666667,1.0,0.57
12,4,1.0,0.6833333333333333,1.0,0.6
13,4,1.0,0.8266666666666667,1.0,0.7333333333333333
14,4,1.0,0.82,1.0,0.75
15,4,1.0,0.8,1.0,0.72
16,4,1.0,0.7933333333333333,1.0,0.7
17,4,1.0,0.7733333333333333,1.0,0.6266666666666667
18,4,1.0,0.7533333333333333,1.0,0.6166666666666667
19,4,1.0,0.75,1.0,0.6133333333333333
20,4,1.0,0.73,1.0,0.6233333333333333
21,4,1.0,0.6933333333333334,1.0,0.61
22,4,1.0,0.6833333333333333,1.0,0.6166666666666667
23,4,1.0,0.6766666666666666,1.0,0.6366666666666667
24,4,1.0,0.6766666666666666,1.0,0.6266666666666667
25,4,1.0,0.6766666666666666,1.0,0.6333333333333333
