layer,pos,p2f_train,p2f_test,p2f_auroc,f2p_train,f2p_test,f2p_auroc
0,0,0.99,0.46,0.44982222222222223,0.9933333333333333,0.5233333333333333,0.54
0,1,1.0,0.46,0.45155555555555554,1.0,0.45,0.43266666666666664
0,2,1.0,0.4766666666666667,0.52,1.0,0.4166666666666667,0.4036888888888889
0,3,1.0,0.4866666666666667,0.49506666666666665,1.0,0.41333333333333333,0.3973777777777778
0,4,1.0,0.49666666666666665,0.4512888888888889,1.0,0.44666666666666666,0.42675555555555555
1,0,1.0,0.5233333333333333,0.5724444444444444,0.9966666666666667,0.48333333333333334,0.4872444444444444
1,1,1.0,0.49666666666666665,0.5053333333333333,1.0,0.49333333333333335,0.4894222222222222
1,2,1.0,0.5566666666666666,0.5667111111111112,1.0,0.47333333333333333,0.45786666666666664
1,3,1.0,0.5566666666666666,0.5316222222222222,1.0,0.41333333333333333,0.41057777777777776
1,4,1.0,0.47333333333333333,0.45106666666666667,1.0,0.41333333333333333,0.44106666666666666
2,0,1.0,0.5133333333333333,0.5028444444444444,1.0,0.46,0.4941333333333333
2,1,1.0,0.5166666666666667,0.5022222222222222,1.0,0.49,0.48684444444444447
2,2,1.0,0.5066666666666667,0.4887111111111111,1.0,0.45,0.4247111111111111
2,3,1.0,0.54,0.5150888888888889,1.0,0.4266666666666667,0.4404
2,4,1.0,0.49,0.46728888888888886,1.0,0.4633333333333333,0.4372888888888889
3,0,1.0,0.43666666666666665,0.4096,1.0,0.49333333333333335,0.5152444444444444
3,1,1.0,0.47333333333333333,0.4669333333333333,1.0,0.48,0.48186666666666667
3,2,1.0,0.44333333333333336,0.4322666666666667,1.0,0.49,0.4514666666666667
3,3,1.0,0.49333333333333335,0.4908888888888889,1.0,0.4633333333333333,0.43
3,4,1.0,0.47,0.4563111111111111,1.0,0.45666666666666667,0.42817777777777777
4,0,1.0,0.49333333333333335,0.39413333333333334,1.0,0.51,0.5258222222222222
4,1,1.0,0.51,0.5948888888888889,1.0,0.5633333333333334,0.5303555555555556
4,2,1.0,0.5366666666666666,0.5672888888888888,1.0,0.51,0.5401333333333334
4,3,1.0,0.5166666666666667,0.5208,1.0,0.48333333333333334,0.47742222222222225
4,4,1.0,0.5233333333333333,0.5336888888888889,1.0,0.5133333333333333,0.48791111111111113
5,0,1.0,0.38333333333333336,0.4226666666666667,1.0,0.54,0.5443111111111111
5,1,1.0,0.6566666666666666,0.7116444444444444,1.0,0.55,0.5697333333333333
5,2,1.0,0.5466666666666666,0.5848888888888889,1.0,0.58,0.5964
5,3,1.0,0.52,0.5586666666666666,1.0,0.5166666666666667,0.5176
5,4,1.0,0.5033333333333333,0.4861333333333333,1.0,0.5,0.4503111111111111
6,0,1.0,0.52,0.5562222222222222,1.0,0.5566666666666666,0.6021333333333333
6,1,1.0,0.6166666666666667,0.7100888888888889,1.0,0.62,0.5952888888888889
6,2,1.0,0.58,0.6450222222222223,1.0,0.5666666666666667,0.5656444444444444
6,3,1.0,0.54,0.6018666666666667,1.0,0.5,0.5365333333333333
6,4,1.0,0.47333333333333333,0.5001777777777778,1.0,0.5666666666666667,0.5133333333333333
7,0,1.0,0.59,0.6008,1.0,0.5733333333333334,0.6181333333333333
7,1,1.0,0.61,0.7310222222222222,1.0,0.6,0.5959111111111111
7,2,1.0,0.5533333333333333,0.6000888888888889,1.0,0.5766666666666667,0.5554222222222223
7,3,1.0,0.5733333333333334,0.6382222222222222,1.0,0.5033333333333333,0.5281777777777777
7,4,1.0,0.5333333333333333,0.5545333333333333,1.0,0.5366666666666666,0.5075555555555555
8,0,1.0,0.59,0.6312,1.0,0.57,0.6173333333333333
8,1,1.0,0.7333333333333333,0.8170222222222222,1.0,0.62,0.6551111111111111
8,2,1.0,0.6633333333333333,0.7263555555555555,1.0,0.62,0.6619555555555555
8,3,1.0,0.5533333333333333,0.5887111111111111,1.0,0.5733333333333334,0.5756
8,4,1.0,0.5333333333333333,0.6141777777777778,1.0,0.5366666666666666,0.5087111111111111
9,0,1.0,0.6166666666666667,0.6676444444444445,1.0,0.5966666666666667,0.6444888888888889
9,1,1.0,0.67,0.8326666666666667,1.0,0.61,0.6108888888888889
9,2,1.0,0.6266666666666667,0.7221777777777778,1.0,0.6366666666666667,0.6943111111111111
9,3,1.0,0.6166666666666667,0.6524888888888889,1.0,0.5966666666666667,0.6148888888888889
9,4,1.0,0.6066666666666667,0.6812444444444444,1.0,0.56,0.5282666666666667
10,0,1.0,0.5766666666666667,0.6938222222222222,1.0,0.6133333333333333,0.6487555555555555
10,1,1.0,0.62,0.8228444444444445,1.0,0.61,0.6390666666666667
10,2,1.0,0.7066666666666667,0.7875555555555556,1.0,0.6233333333333333,0.7031555555555555
10,3,1.0,0.7033333333333334,0.7817333333333333,1.0,0.6366666666666667,0.6772
10,4,1.0,0.6366666666666667,0.7538222222222222,1.0,0.6266666666666667,0.6290222222222223
11,0,1.0,0.6133333333333333,0.6465777777777778,1.0,0.56,0.6088444444444444
11,1,1.0,0.68,0.8511555555555556,1.0,0.6033333333333334,0.6585777777777778
11,2,1.0,0.68,0.7803111111111111,1.0,0.6266666666666667,0.6937777777777778
11,3,1.0,0.6833333333333333,0.7362222222222222,1.0,0.6266666666666667,0.6593777777777777
11,4,1.0,0.6766666666666666,0.7699111111111111,1.0,0.6266666666666667,0.6308
12,0,1.0,0.6066666666666667,0.6543555555555556,1.0,0.5533333333333333,0.6143111111111111
12,1,1.0,0.68,0.7935555555555556,1.0,0.6133333333333333,0.6244888888888889
12,2,1.0,0.6933333333333334,0.7644444444444445,1.0,0.6266666666666667,0.6685777777777778
12,3,1.0,0.6833333333333333,0.7305333333333334,1.0,0.6333333333333333,0.6534666666666666
12,4,1.0,0.6966666666666667,0.8001777777777778,1.0,0.6166666666666667,0.6187555555555555
13,0,1.0,0.6366666666666667,0.6364888888888889,1.0,0.5833333333333334,0.6128888888888889
13,1,1.0,0.6866666666666666,0.8264888888888889,1.0,0.61,0.6048444444444444
13,2,1.0,0.7433333333333333,0.8072,1.0,0.64,0.6810222222222222
13,3,1.0,0.7433333333333333,0.7940444444444444,1.0,0.6566666666666666,0.6308
13,4,1.0,0.71,0.8615555555555555,1.0,0.59,0.6099555555555556
14,0,1.0,0.6366666666666667,0.6461333333333333,1.0,0.5733333333333334,0.6134222222222222
14,1,1.0,0.7333333333333333,0.8495555555555555,1.0,0.6133333333333333,0.6160888888888889
14,2,1.0,0.7033333333333334,0.8112888888888888,1.0,0.63,0.6590666666666667
14,3,1.0,0.7666666666666667,0.8276,1.0,0.6366666666666667,0.6510222222222222
14,4,1.0,0.6966666666666667,0.868,1.0,0.6233333333333333,0.6064444444444445
