layer,pos,p2f_train,p2f_test,f2p_train,f2p_test
0,0,1.0,0.49666666666666665,1.0,0.46
1,0,1.0,0.48,1.0,0.4666666666666667
2,0,1.0,0.49666666666666665,1.0,0.4766666666666667
3,0,1.0,0.48333333333333334,1.0,0.49666666666666665
4,0,1.0,0.48333333333333334,1.0,0.5
5,0,1.0,0.47333333333333333,1.0,0.4766666666666667
6,0,1.0,0.48,1.0,0.47333333333333333
7,0,1.0,0.47333333333333333,1.0,0.4766666666666667
8,0,1.0,0.48,1.0,0.47
9,0,1.0,0.45666666666666667,1.0,0.4266666666666667
10,0,1.0,0.45666666666666667,1.0,0.45
11,0,1.0,0.5,1.0,0.44666666666666666
12,0,1.0,0.48333333333333334,1.0,0.43666666666666665
13,0,1.0,0.43,1.0,0.45
14,0,1.0,0.4533333333333333,1.0,0.45666666666666667
15,0,1.0,0.44666666666666666,1.0,0.4666666666666667
16,0,1.0,0.4166666666666667,1.0,0.4766666666666667
17,0,1.0,0.42,1.0,0.51
18,0,1.0,0.4633333333333333,1.0,0.5266666666666666
19,0,1.0,0.44666666666666666,1.0,0.49333333333333335
20,0,1.0,0.48,1.0,0.47
21,0,1.0,0.37666666666666665,1.0,0.4066666666666667
22,0,1.0,0.37666666666666665,1.0,0.4166666666666667
23,0,1.0,0.3933333333333333,1.0,0.42333333333333334
24,0,1.0,0.38,1.0,0.3933333333333333
25,0,1.0,0.44333333333333336,1.0,0.42
26,0,1.0,0.4633333333333333,1.0,0.42333333333333334
27,0,1.0,0.45666666666666667,1.0,0.4033333333333333
28,0,1.0,0.45666666666666667,1.0,0.41
29,0,1.0,0.4866666666666667,1.0,0.4066666666666667
30,0,1.0,0.53,1.0,0.4266666666666667
31,0,1.0,0.5266666666666666,1.0,0.45
32,0,1.0,0.5466666666666666,1.0,0.4666666666666667
33,0,1.0,0.5366666666666666,1.0,0.45666666666666667
34,0,1.0,0.5266666666666666,1.0,0.47
35,0,1.0,0.5533333333333333,1.0,0.4766666666666667
