layer,pos,p2f_train,p2f_test,p2f_auroc,f2p_train,f2p_test,f2p_auroc
0,0,1.0,0.4633333333333333,0.44782222222222223,0.9966666666666667,0.58,0.5965333333333334
0,1,1.0,0.5233333333333333,0.49195555555555553,1.0,0.48333333333333334,0.4698222222222222
0,2,1.0,0.41333333333333333,0.3476888888888889,1.0,0.36666666666666664,0.33368888888888887
0,3,1.0,0.58,0.6281333333333333,1.0,0.49,0.48204444444444444
0,4,1.0,0.5333333333333333,0.49133333333333334,1.0,0.5,0.4553333333333333
1,0,1.0,0.5466666666666666,0.5431555555555555,1.0,0.5333333333333333,0.5492
1,1,1.0,0.55,0.4315555555555556,1.0,0.4533333333333333,0.46084444444444445
1,2,1.0,0.44666666666666666,0.3762666666666667,1.0,0.43666666666666665,0.40115555555555554
1,3,1.0,0.5533333333333333,0.5534666666666667,1.0,0.4066666666666667,0.38351111111111114
1,4,1.0,0.5,0.4530666666666667,1.0,0.37333333333333335,0.36013333333333336
2,0,1.0,0.5233333333333333,0.588,1.0,0.5566666666666666,0.5862222222222222
2,1,1.0,0.59,0.5869777777777778,1.0,0.57,0.5943555555555555
2,2,1.0,0.4666666666666667,0.49777777777777776,1.0,0.49,0.4378666666666667
2,3,1.0,0.5366666666666666,0.6073333333333333,1.0,0.4666666666666667,0.43924444444444444
2,4,1.0,0.5533333333333333,0.5675555555555556,1.0,0.41333333333333333,0.3643111111111111
3,0,1.0,0.5633333333333334,0.7028,1.0,0.5533333333333333,0.5768
3,1,1.0,0.5733333333333334,0.6511555555555556,1.0,0.5633333333333334,0.6005777777777778
3,2,1.0,0.67,0.7595555555555555,1.0,0.5833333333333334,0.6076888888888888
3,3,1.0,0.6633333333333333,0.7445333333333334,1.0,0.5533333333333333,0.5374666666666666
3,4,1.0,0.6,0.6857333333333333,1.0,0.53,0.46924444444444446
4,0,1.0,0.5866666666666667,0.7234222222222222,1.0,0.56,0.5833777777777778
4,1,1.0,0.5933333333333334,0.6020888888888889,1.0,0.5466666666666666,0.5961333333333333
4,2,1.0,0.71,0.7672888888888889,1.0,0.63,0.6654222222222222
4,3,1.0,0.65,0.7360888888888889,1.0,0.5433333333333333,0.6059555555555556
4,4,1.0,0.6133333333333333,0.676,1.0,0.49,0.5051111111111111
5,0,1.0,0.5966666666666667,0.6774222222222223,1.0,0.5066666666666667,0.5366222222222222
5,1,1.0,0.6,0.6949333333333333,1.0,0.5766666666666667,0.5977777777777777
5,2,1.0,0.6966666666666667,0.7929777777777778,1.0,0.67,0.6635111111111112
5,3,1.0,0.6033333333333334,0.6846666666666666,1.0,0.5966666666666667,0.6434666666666666
5,4,1.0,0.6766666666666666,0.7153333333333334,1.0,0.56,0.5987111111111111
6,0,1.0,0.5133333333333333,0.5730222222222222,1.0,0.52,0.5486666666666666
6,1,1.0,0.56,0.6102222222222222,1.0,0.5833333333333334,0.6128
6,2,1.0,0.6633333333333333,0.7265777777777778,1.0,0.6433333333333333,0.6156444444444444
6,3,1.0,0.6366666666666667,0.7028444444444445,1.0,0.6033333333333334,0.6502666666666667
6,4,1.0,0.6533333333333333,0.7262666666666666,1.0,0.5766666666666667,0.6228
7,0,1.0,0.55,0.5516888888888889,1.0,0.5266666666666666,0.5764888888888889
7,1,1.0,0.5866666666666667,0.5956888888888889,1.0,0.57,0.6093333333333333
7,2,1.0,0.7233333333333334,0.8135555555555556,1.0,0.6033333333333334,0.5926222222222223
7,3,1.0,0.5433333333333333,0.6076888888888888,1.0,0.5966666666666667,0.6384888888888889
7,4,1.0,0.5733333333333334,0.6203111111111111,1.0,0.5866666666666667,0.6252
8,0,1.0,0.5566666666666666,0.4809333333333333,1.0,0.5733333333333334,0.6026222222222222
8,1,1.0,0.59,0.5980888888888889,1.0,0.55,0.6094222222222222
8,2,1.0,0.7433333333333333,0.868,1.0,0.6633333333333333,0.6808888888888889
8,3,1.0,0.5966666666666667,0.6848444444444445,1.0,0.5733333333333334,0.6492
8,4,1.0,0.5866666666666667,0.6649777777777778,1.0,0.54,0.6462222222222223
9,0,1.0,0.5633333333333334,0.5636888888888889,1.0,0.5433333333333333,0.6001333333333333
9,1,1.0,0.5633333333333334,0.6147111111111111,1.0,0.5833333333333334,0.6382666666666666
9,2,1.0,0.8066666666666666,0.8885333333333333,1.0,0.66,0.6827555555555556
9,3,1.0,0.5766666666666667,0.6656888888888889,1.0,0.5566666666666666,0.6400444444444444
9,4,1.0,0.6166666666666667,0.7388,1.0,0.57,0.6824444444444444
10,0,1.0,0.5566666666666666,0.5673333333333334,1.0,0.5433333333333333,0.5926666666666667
10,1,1.0,0.6033333333333334,0.6733777777777777,1.0,0.6033333333333334,0.6575111111111112
10,2,1.0,0.83,0.9146222222222222,1.0,0.6633333333333333,0.6714222222222223
10,3,1.0,0.62,0.7317777777777777,1.0,0.57,0.6652
10,4,1.0,0.5733333333333334,0.6710222222222222,1.0,0.58,0.6846222222222222
11,0,1.0,0.5766666666666667,0.6418222222222222,1.0,0.5766666666666667,0.6215555555555555
11,1,1.0,0.5866666666666667,0.7263111111111111,1.0,0.6066666666666667,0.6601333333333333
11,2,1.0,0.82,0.9029333333333334,1.0,0.6633333333333333,0.6710222222222222
11,3,1.0,0.64,0.7602222222222222,1.0,0.5766666666666667,0.6677777777777778
11,4,1.0,0.6133333333333333,0.7308888888888889,1.0,0.6033333333333334,0.6927555555555556
12,0,1.0,0.5866666666666667,0.6512,1.0,0.5766666666666667,0.6124
12,1,1.0,0.5866666666666667,0.7354222222222222,1.0,0.6,0.6734222222222223
12,2,1.0,0.8866666666666667,0.9652888888888889,1.0,0.7033333333333334,0.7822666666666667
12,3,1.0,0.6866666666666666,0.7875555555555556,1.0,0.6166666666666667,0.7129777777777778
12,4,1.0,0.6966666666666667,0.8349777777777778,1.0,0.6733333333333333,0.7623555555555556
13,0,1.0,0.5866666666666667,0.6651111111111111,1.0,0.56,0.6051555555555556
13,1,1.0,0.6166666666666667,0.7732,1.0,0.5866666666666667,0.6708
13,2,1.0,0.9033333333333333,0.9718666666666667,1.0,0.7333333333333333,0.8422222222222222
13,3,1.0,0.7666666666666667,0.9014222222222222,1.0,0.72,0.7655111111111111
13,4,1.0,0.75,0.8960444444444444,1.0,0.77,0.8394666666666667
14,0,1.0,0.5866666666666667,0.7210222222222222,1.0,0.56,0.5988888888888889
14,1,1.0,0.6266666666666667,0.6948888888888889,1.0,0.6033333333333334,0.6780444444444444
