layer,pos,p2f_train,p2f_test,p2f_auroc,f2p_train,f2p_test,f2p_auroc
0,0,1.0,0.5266666666666666,0.4928888888888889,1.0,0.5733333333333334,0.5774666666666667
0,1,1.0,0.5,0.5160888888888889,1.0,0.4633333333333333,0.45795555555555556
0,2,1.0,0.44666666666666666,0.4278666666666667,1.0,0.37333333333333335,0.32715555555555553
0,3,1.0,0.5866666666666667,0.6424444444444445,1.0,0.47333333333333333,0.4791111111111111
0,4,1.0,0.52,0.49333333333333335,1.0,0.42333333333333334,0.4008888888888889
1,0,1.0,0.5566666666666666,0.5996888888888889,1.0,0.5466666666666666,0.5419111111111111
1,1,1.0,0.5266666666666666,0.4441333333333333,1.0,0.4633333333333333,0.46528888888888886
1,2,1.0,0.4,0.3204444444444444,1.0,0.44666666666666666,0.3850222222222222
1,3,1.0,0.5266666666666666,0.5285333333333333,1.0,0.4033333333333333,0.3678666666666667
1,4,1.0,0.43666666666666665,0.37177777777777776,1.0,0.34,0.33026666666666665
2,0,1.0,0.52,0.5982222222222222,1.0,0.5233333333333333,0.5636444444444444
2,1,1.0,0.5833333333333334,0.6062666666666666,1.0,0.5666666666666667,0.5949333333333333
2,2,1.0,0.4666666666666667,0.4981777777777778,1.0,0.46,0.38924444444444445
2,3,1.0,0.6,0.6355111111111111,1.0,0.48,0.44622222222222224
2,4,1.0,0.48,0.4981777777777778,1.0,0.39666666666666667,0.3694222222222222
3,0,1.0,0.5766666666666667,0.7134666666666667,1.0,0.5466666666666666,0.5538666666666666
3,1,1.0,0.55,0.6515111111111112,1.0,0.5466666666666666,0.5828888888888889
3,2,1.0,0.6133333333333333,0.6562222222222223,1.0,0.54,0.5399555555555555
3,3,1.0,0.67,0.7235111111111111,1.0,0.5766666666666667,0.5584
3,4,1.0,0.5866666666666667,0.6371555555555556,1.0,0.51,0.4922222222222222
4,0,1.0,0.5733333333333334,0.7462666666666666,1.0,0.55,0.5716444444444444
4,1,1.0,0.59,0.6036,1.0,0.5833333333333334,0.6153777777777778
4,2,1.0,0.5833333333333334,0.6262222222222222,1.0,0.5833333333333334,0.6162222222222222
4,3,1.0,0.66,0.7250222222222222,1.0,0.5666666666666667,0.5703555555555555
4,4,1.0,0.5466666666666666,0.5928,1.0,0.5133333333333333,0.5058666666666667
5,0,1.0,0.57,0.6317777777777778,1.0,0.48,0.5236444444444445
5,1,1.0,0.5833333333333334,0.6483555555555556,1.0,0.59,0.5986222222222222
5,2,1.0,0.6233333333333333,0.6763555555555556,1.0,0.5566666666666666,0.6351555555555556
5,3,1.0,0.6666666666666666,0.7318222222222223,1.0,0.58,0.6050222222222222
5,4,1.0,0.66,0.7074666666666667,1.0,0.5233333333333333,0.5846666666666667
6,0,1.0,0.52,0.5211555555555556,1.0,0.52,0.5482222222222223
6,1,1.0,0.5766666666666667,0.6610222222222222,1.0,0.5733333333333334,0.6047555555555556
6,2,1.0,0.5866666666666667,0.6390666666666667,1.0,0.6533333333333333,0.6135111111111111
6,3,1.0,0.6566666666666666,0.7152444444444445,1.0,0.59,0.6495111111111112
6,4,1.0,0.58,0.5937333333333333,1.0,0.57,0.6019111111111111
7,0,1.0,0.5433333333333333,0.5666666666666667,1.0,0.56,0.5653777777777778
7,1,1.0,0.6133333333333333,0.6372,1.0,0.56,0.6133333333333333
7,2,1.0,0.59,0.6846222222222222,1.0,0.6166666666666667,0.5324888888888889
7,3,1.0,0.5666666666666667,0.6259555555555556,1.0,0.5766666666666667,0.6324888888888889
7,4,1.0,0.5433333333333333,0.5341333333333333,1.0,0.52,0.5674222222222223
8,0,1.0,0.56,0.5240888888888889,1.0,0.5566666666666666,0.5985777777777778
8,1,1.0,0.6133333333333333,0.6119555555555556,1.0,0.5333333333333333,0.5989777777777778
8,2,1.0,0.7,0.8094222222222223,1.0,0.6333333333333333,0.6464888888888889
8,3,1.0,0.6,0.6540444444444444,1.0,0.57,0.6114666666666667
8,4,1.0,0.5333333333333333,0.5133333333333333,1.0,0.5666666666666667,0.5891555555555555
9,0,1.0,0.5433333333333333,0.5484444444444444,1.0,0.5433333333333333,0.592
9,1,1.0,0.57,0.6539111111111111,1.0,0.5233333333333333,0.6206666666666667
9,2,1.0,0.7,0.8324,1.0,0.5733333333333334,0.6345777777777778
9,3,1.0,0.6,0.6585777777777778,1.0,0.57,0.6246666666666667
9,4,1.0,0.5633333333333334,0.5917777777777777,1.0,0.54,0.5893777777777778
10,0,1.0,0.5333333333333333,0.5150222222222223,1.0,0.52,0.5713333333333334
10,1,1.0,0.5966666666666667,0.6758666666666666,1.0,0.59,0.6390222222222223
